"","District","DisaggregationCategory","Category","MathScores2019","ELAScores2019","MathScores2022","ELAScores2022","TotalEnrollment","Blended","PercentBlended","Remote","PercentRemote","remote_cat"
"1","1","English Language Learner Status","ELL","604.901772427697","599.747109961157","604.167012439457","602.52254235041","908","235","25.9","673","74.1","High"
"2","1","English Language Learner Status","Not ELL","603.95721400978","606.117786776444","600.664937679363","605.536302949589","9641","2800","29","6841","71","Middle"
"3","1","Gender","Female","604.992963863494","608.89795392398","601.509349449209","608.13571579013","5042","1455","28.9","3587","71.1","Middle"
"4","1","Gender","Male","603.307252127006","601.776491736491","600.979984424203","602.39586509346","5507","1580","28.7","3927","71.3","Middle"
"5","1","Grade Level","3","605.5933228","606.7185059","599.6660156","603.6296997","784","281","35.8","503","64.2","Middle"
"6","1","Grade Level","4","603.5265503","604.5339355","598.0969849","600.9227905","772","283","36.7","489","63.3","Middle"
"7","1","Grade Level","5","602.8304443","603.5418091","603.305603","605.8739014","787","228","29","559","71","Middle"
"8","1","Grade Level","6","604.7839966","604.2026978","605.1715698","607.6148682","753","166","22","587","78","High"
"9","1","Grade Level","7","604.7492676","608.3583374","600.4692993","607.9724731","752","148","19.7","604","80.3","High"
"10","1","Grade Level","8","602.7237549","603.5318604","599.2103271","604.0621338","753","145","19.3","608","80.7","High"
"11","1","Race or Ethnicity","Asian","620.441697760426","615.716900723681","619.118461000689","617.197124509791","2198","447","20.3","1751","79.7","High"
"12","1","Race or Ethnicity","Black","588.945904239508","592.730408673824","583.560075109657","592.036821828101","1580","454","28.7","1126","71.3","Middle"
"13","1","Race or Ethnicity","Hispanic","594.593717733082","596.711966209058","589.383745263872","595.538762469068","4349","1241","28.5","3108","71.5","Middle"
"14","1","Race or Ethnicity","White","616.519930197239","619.082644802342","614.877889585474","618.26690573053","1949","725","37.2","1224","62.8","Middle"
"15","1","total","total","604.0385","605.5694","600.9664","605.2769","10549","3035","28.77","7514","71.23","Middle"
"16","2","English Language Learner Status","ELL","611.338902645992","605.934981610251","607.304696700972","608.164974460406","4805","1575","32.8","3230","67.2","Middle"
"17","2","English Language Learner Status","Not ELL","614.217495701115","614.808878008325","610.373460063195","614.654086299065","54489","17710","32.5","36779","67.5","Middle"
"18","2","Gender","Female","614.16974558831","616.238352990153","609.679399175022","616.449704142024","30930","9741","31.5","21189","68.5","Middle"
"19","2","Gender","Male","613.249690763924","610.536952997671","610.060481670544","610.797992202529","28364","9544","33.6","18820","66.4","Middle"
"20","2","Grade Level","3","613.4779663","611.9870605","609.3497925","612.4002686","2583","1451","56.2","1132","43.8","Low"
"21","2","Grade Level","4","614.6050415","614.2581787","611.5425415","612.7216187","2523","1413","56","1110","44","Low"
"22","2","Grade Level","5","613.6662598","614.9031372","610.1876831","613.8668823","2474","1406","56.8","1068","43.2","Low"
"23","2","Grade Level","6","613.1370239","613.0879517","609.571167","615.1929932","2626","1293","49.2","1333","50.8","Low"
"24","2","Grade Level","7","616.0195923","615.0189819","610.8308105","616.6065674","2633","1069","40.6","1564","59.4","Middle"
"25","2","Grade Level","8","609.145752","610.6134644","601.4454346","611.0227051","2676","1078","40.3","1598","59.7","Middle"
"26","2","Race or Ethnicity","Asian","620.220219766403","615.473049007524","617.334558828267","616.547173028217","13105","2865","21.9","10240","78.1","High"
"27","2","Race or Ethnicity","Black","593.443087578363","596.57323937434","588.101684109126","597.696588781591","8256","2030","24.6","6226","75.4","High"
"28","2","Race or Ethnicity","Hispanic","600.558693191539","603.803054719695","596.339131583492","604.209679444222","19530","4700","24.1","14830","75.9","High"
"29","2","Race or Ethnicity","White","617.437611623747","617.862244052181","612.938493717531","617.396046339094","15265","8344","54.7","6921","45.3","Low"
"30","2","total","total","613.9842","614.0898","610.1248","614.1282","59294","19285","32.52","40009","67.48","Middle"
"31","3","English Language Learner Status","ELL","598.413459855048","596.238264130927","595.024645747711","599.661673067167","941","388","41.2","553","58.8","Middle"
"32","3","English Language Learner Status","Not ELL","608.608703251037","610.634198726997","604.930145606038","610.443778272845","19424","8137","41.9","11287","58.1","Middle"
"33","3","Gender","Female","608.349491255947","612.289947174598","603.72360910317","612.491550550878","11026","4496","40.8","6530","59.2","Middle"
"34","3","Gender","Male","606.452244638067","605.845127125555","604.057299708905","606.403394819072","9339","4029","43.1","5310","56.9","Middle"
"35","3","Grade Level","3","607.4102173","607.3839722","604.9897461","609.0361328","1123","682","60.7","441","39.3","Low"
"36","3","Grade Level","4","611.135498","610.9041748","605.8377686","607.6842041","1182","634","53.6","548","46.4","Low"
"37","3","Grade Level","5","606.7301636","609.5604858","604.7033691","609.234375","1252","682","54.5","570","45.5","Low"
"38","3","Grade Level","6","607.0255127","607.9853516","602.3605957","609.769165","1322","613","46.4","709","53.6","Low"
"39","3","Grade Level","7","608.7866211","610.6403198","605.4936523","613.2504272","1342","514","38.3","828","61.7","Middle"
"40","3","Grade Level","8","595.5626221","608.4425049","588.2571411","607.2299805","1424","605","42.5","819","57.5","Middle"
"41","3","Race or Ethnicity","Asian","624.785852714532","622.863714215503","621.546224146639","622.533560473866","1972","769","39","1203","61","Middle"
"42","3","Race or Ethnicity","Black","591.77754882517","595.795540939653","585.964357229925","595.373886470803","3881","1228","31.6","2653","68.4","Middle"
"43","3","Race or Ethnicity","Hispanic","597.911445102643","599.272563580422","593.404212941042","600.501887851595","6593","1986","30.1","4607","69.9","Middle"
"44","3","Race or Ethnicity","White","619.547616655","620.373643939357","616.244123585342","619.457695202148","6523","3844","58.9","2679","41.1","Low"
"45","3","total","total","608.1376","609.969","604.4724","609.9456","20365","8525","41.86","11840","58.14","Middle"
"46","4","English Language Learner Status","ELL","591.692708252621","591.11729596217","590.345544402356","595.175961185997","1187","492","41.4","695","58.6","Middle"
"47","4","English Language Learner Status","Not ELL","597.64100130291","600.111082050948","593.995902877789","601.165375727284","10547","3237","30.7","7310","69.3","Middle"
"48","4","Gender","Female","597.019461580116","601.665283528229","593.486820343895","603.027610048339","6125","1828","29.8","4297","70.2","Middle"
